文件ID,文件名称,文件状态,创建时间,视频时长,视频大小,最近更新,类别,标签,视频地址（原始）,视频地址（原始带水印）,视频地址（手机MP4）,视频地址（标清MP4）,视频地址（高清MP4）,视频地址（超清MP4）,视频地址（手机FLV）,视频地址（标清FLV）,视频地址（高清FLV）,视频地址（手机HLS）,视频地址（标清HLS）,视频地址（高清HLS）,视频地址（超清HLS）,视频含播放器发布HTML,视频含播放器FLASH代码,视频含播放器IFRAME代码,分享（原始）,分享（原始带水印）,分享（手机MP4）,分享（标清MP4）,分享（高清MP4）,分享（超清MP4）,分享（手机FLV）,分享（标清FLV）,分享（高清FLV）,分享（手机HLS）,分享（标清HLS）,分享（高清HLS）,分享（超清HLS）
"	5285890792068575245",VID_20180317_161521_640,正常,"2019-07-28 08:58:34",36,"	2477465","2019-07-28 08:58:35",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c61a58365285890792068575245/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068575245"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068575245"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068575245"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068575245&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068575245/iplayer.html?appid=1252064124&fileid=5285890792068575245&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068610874",VID_20150416_102438_640,正常,"2019-07-28 08:58:40",33,"	2391927","2019-07-28 08:58:42",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c80049d45285890792068610874/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068610874"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068610874"",""app_id"":1252064124,""width"":480,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068610874"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068610874&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068610874/iplayer.html?appid=1252064124&fileid=5285890792068610874&autoplay=0&sw=480&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068619543",VID_20151017_140613_640,正常,"2019-07-28 08:58:49",60,"	4185223","2019-07-28 08:58:50",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c8052c165285890792068619543/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068619543"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068619543"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068619543"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068619543&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068619543/iplayer.html?appid=1252064124&fileid=5285890792068619543&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068611505",VID_20151022_192138_640,正常,"2019-07-28 08:58:59",80,"	5539084","2019-07-28 08:59:01",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c800c88c5285890792068611505/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068611505"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068611505"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068611505"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068611505&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068611505/iplayer.html?appid=1252064124&fileid=5285890792068611505&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068576521",VID_20151108_182437_640,正常,"2019-07-28 08:59:05",36,"	2605808","2019-07-28 08:59:06",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c61af1145285890792068576521/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068576521"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068576521"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068576521"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068576521&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068576521/iplayer.html?appid=1252064124&fileid=5285890792068576521&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068612110",VID_20151124_101315_640,正常,"2019-07-28 08:59:08",14,"	1030826","2019-07-28 08:59:09",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c80144055285890792068612110/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068612110"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068612110"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068612110"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068612110&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068612110/iplayer.html?appid=1252064124&fileid=5285890792068612110&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068612240",VID_20170917_200827_640,正常,"2019-07-28 08:59:15",50,"	3557755","2019-07-28 08:59:16",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c80148a95285890792068612240/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068612240"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068612240"",""app_id"":1252064124,""width"":480,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068612240"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068612240&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068612240/iplayer.html?appid=1252064124&fileid=5285890792068612240&autoplay=0&sw=480&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068577186",VID_20170917_201002_640,正常,"2019-07-28 08:59:27",90,"	6397043","2019-07-28 08:59:29",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c61b6d3c5285890792068577186/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068577186"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068577186"",""app_id"":1252064124,""width"":480,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068577186"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068577186&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068577186/iplayer.html?appid=1252064124&fileid=5285890792068577186&autoplay=0&sw=480&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068621431",VID_20170920_192217_640,正常,"2019-07-28 08:59:33",34,"	2433747","2019-07-28 08:59:35",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c812dd2b5285890792068621431/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068621431"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068621431"",""app_id"":1252064124,""width"":480,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068621431"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068621431&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068621431/iplayer.html?appid=1252064124&fileid=5285890792068621431&autoplay=0&sw=480&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792068613289",VID_20170922_201300_640,正常,"2019-07-28 08:59:37",21,"	1543394","2019-07-28 08:59:38",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/c801d5975285890792068613289/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792068613289"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792068613289"",""app_id"":1252064124,""width"":480,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792068613289"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792068613289&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792068613289/iplayer.html?appid=1252064124&fileid=5285890792068613289&autoplay=0&sw=480&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
